"student","currProb","course","session","priorTutorAction","reward","Interaction","hintCount","TotalTime","TotalPSTime","TotalWETime","avgstepTime","avgstepTimePS","stepTimeDeviation","symbolicRepresentationCount","englishSymbolicSwitchCount","Level","probDiff","difficultProblemCountSolved","difficultProblemCountWE","easyProblemCountSolved","easyProblemCountWE","probAlternate","easyProbAlternate","RuleTypesCount","UseCount","PrepCount","MorphCount","OptionalCount","NewLevel","SolvedPSInLevel","SeenWEinLevel","probIndexinLevel","probIndexPSinLevel","InterfaceErrorCount","RightApp","WrongApp","WrongSemanticsApp","WrongSyntaxApp","PrightAppRatio","RrightAppRatio","F1Score","FDActionCount","BDActionCount","DirectProofActionCount","InDirectProofActionCount","actionCount","UseWindowInfo","NonPSelements","AppCount","AppRatio","hintRatio","BlankRatio","HoverHintCount","SystemInfoHintCount","NextStepClickCountWE","PreviousStepClickCountWE","deletedApp","ruleScoreMP","ruleScoreDS","ruleScoreSIMP","ruleScoreMT","ruleScoreADD","ruleScoreCONJ","ruleScoreHS","ruleScoreCD","ruleScoreDN","ruleScoreDEM","ruleScoreIMPL","ruleScoreCONTRA","ruleScoreEQUIV","ruleScoreCOM","ruleScoreASSOC","ruleScoreDIST","ruleScoreABS","ruleScoreEXP","ruleScoreTAUT","cumul_Interaction","cumul_hintCount","cumul_TotalTime","cumul_TotalPSTime","cumul_TotalWETime","cumul_avgstepTime","cumul_avgstepTimeWE","cumul_avgstepTimePS","cumul_symbolicRepresentationCount","cumul_englishSymbolicSwitchCount","cumul_difficultProblemCountSolved","cumul_difficultProblemCountWE","cumul_easyProblemCountSolved","cumul_easyProblemCountWE","cumul_probAlternate","cumul_easyProbAlternate","cumul_RuleTypesCount","cumul_UseCount","cumul_PrepCount","cumul_MorphCount","cumul_OptionalCount","cumul_probIndexinLevel","cumul_InterfaceErrorCount","cumul_RightApp","cumul_WrongApp","cumul_WrongSemanticsApp","cumul_WrongSyntaxApp","cumul_PrightAppRatio","cumul_RrightAppRatio","cumul_F1Score","cumul_FDActionCount","cumul_BDActionCount","cumul_DirectProofActionCount","cumul_InDirectProofActionCount","cumul_actionCount","cumul_UseWindowInfo","cumul_NonPSelements","cumul_AppCount","cumul_AppRatio","cumul_hintRatio","cumul_BlankRatio","cumul_HoverHintCount","cumul_SystemInfoHintCount","cumul_NextStepClickCountWE","cumul_PreviousStepClickCountWE","cumul_deletedApp","CurrPro_NumProbRule","CurrPro_avgProbTime","CurrPro_avgProbTimePS","CurrPro_avgProbTimeDeviationPS","CurrPro_avgProbTimeWE","CurrPro_avgProbTimeDeviationWE","CurrPro_medianProbTime"
"000b-F14","1.0.1.0","226-001-BARNES-F14",1,"WE",0,66,0,509.71,461.355,48.355,7.281571429,6.885895522,12.2017005,1,0,1,0,0,0,0,0,0,0,2,2,10,0,0,1,1,1,0,0,34,4,8,4,4,0.125,1,0.222222222,36,0,36,0,36,0,4,32,0.888888889,0,0.111111111,4,2,2,0,0,0.039311765,0.039311765,0.130144938,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,66,0,509.71,461.355,48.355,7.281571429,16.11833333,6.885895522,1,0,0,0,0,0,0,0,2,2,10,0,0,0,34,4,8,4,4,0.125,1,0.222222222,36,0,36,0,36,0,4,32,0.888888889,0,0.111111111,4,2,2,0,0,3,472.5291424,402.2476603,754.2226573,48.0436209,85.89333199,226.8775
"000b-F14","1.0.2.0","226-001-BARNES-F14",2,"WE",0,9,0,93.288,0,93.288,10.36533333,5.730519118,12.2017005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0.323480324,6,0,6,0,6,0,4,2,0.333333333,0,0.666666667,0,0,4,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,75,0,602.998,461.355,141.643,7.632886076,11.80358333,6.885895522,2,0,0,0,0,0,0,0,2,2,10,0,0,1,37,4,8,4,4,0.117647059,0.571428571,0.195121951,42,0,42,0,42,0,8,34,0.80952381,0,0.19047619,4,2,6,0,0,3,167.9528131,136.6535636,325.6199227,25.72711272,44.42744607,81.495
"000b-F14","1.0.3.0","226-001-BARNES-F14",2,"PS",0,6,0,57.349,0,57.349,9.558166667,5.730519118,12.12983473,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0.166056337,0,0.323480324,5,0,5,0,5,0,5,0,0,0,1,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,81,0,660.347,461.355,198.992,7.768788235,11.05511111,6.885895522,3,0,0,0,0,0,0,0,2,2,10,0,0,2,38,4,8,4,4,0.117647059,0.363636364,0.177777778,47,0,47,0,47,0,13,34,0.723404255,0,0.276595745,4,2,11,0,0,4,572.535163,522.2272823,1017.360329,23.75181108,45.74223636,124.365
"000b-F14","1.0.4.0","226-001-BARNES-F14",2,"PS",-34.86842105,20,0,137.959,137.959,0,6.270863636,6.270863636,11.04681513,1,0,1,0,0,0,0,0,0,0,2,4,3,0,0,0,0,0,3,1,2,4,3,2,1,0.2,1,0.333333333,20,0,20,0,20,0,0,20,1,0,0,0,0,0,0,0,0.069003526,0.118945582,0.318496178,0.01,0.041235801,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,101,0,798.306,599.314,198.992,7.460803738,11.05511111,6.733865169,4,0,0,0,0,0,0,0,2,6,13,0,0,3,40,8,11,6,5,0.148148148,0.533333333,0.231884058,67,0,67,0,67,0,13,54,0.805970149,0,0.194029851,4,2,11,0,0,4,252.0669214,252.0669214,419.3237917,0,0,119.459
"000b-F14","2.1.1.0","226-001-BARNES-F14",2,"WE",0,9,0,62.38,0,62.38,6.931111111,5.730519118,11.04681513,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.166056337,0,0.323480324,8,0,8,0,8,0,8,0,0,0,1,0,0,8,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,9,0,62.38,0,62.38,6.931111111,6.931111111,6.100940583,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.160948709,0,0.268913966,8,0,8,0,8,0,8,0,0,0,1,0,0,8,0,0,4,366.135642,318.9324098,568.136864,32.95672242,55.10625694,152.054
"000b-F14","2.1.2.0","226-001-BARNES-F14",2,"WE",0,6,0,18.137,0,18.137,3.022833333,5.730519118,11.00266254,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.166056337,0,0.323480324,5,0,5,0,5,0,5,0,0,0,1,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,15,0,80.517,0,80.517,5.3678,5.3678,6.100940583,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.160948709,0,0.268913966,13,0,13,0,13,0,13,0,0,0,1,0,0,13,0,0,4,215.5316966,166.3043781,514.1781711,37.43865714,50.54714033,64.568
"000b-F14","2.1.3.0","226-001-BARNES-F14",2,"PS",-9.165192393,47,0,258.006,258.006,0,5.265428571,5.265428571,9.520786378,1,0,2,1,1,0,0,0,0,0,3,8,4,3,0,0,0,0,2,0,6,6,9,5,4,0.139534884,1.2,0.25,43,0,43,0,43,0,0,43,1,0,0,0,0,0,0,2,0.011571932,0.058139136,0.427288016,0.01,0.041235801,0.041235801,0.027365223,0.01,0.01,0.01,0.031115854,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,62,0,338.523,258.006,80.517,5.289421875,5.3678,5.265428571,3,0,1,2,0,0,0,0,3,8,4,3,0,2,8,6,9,5,4,0.139534884,0.4,0.206896552,56,0,56,0,56,0,13,43,0.767857143,0,0.232142857,0,0,13,0,2,4,225.4508831,225.4508831,312.2420144,0,0,126.088
"000b-F14","3.-1.1.0","226-001-BARNES-F14",2,"WE",0,7,0,43.759,0,43.759,6.251285714,5.730519118,9.497289975,1,0,3,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.166056337,0,0.323480324,6,0,6,0,6,0,6,0,0,0,1,0,0,6,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,7,0,43.759,0,43.759,6.251285714,6.251285714,6.100940583,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.160948709,0,0.268913966,6,0,6,0,6,0,6,0,0,0,1,0,0,6,0,0,4,375.3107875,361.4209625,461.5374397,12.34651111,44.56120087,173.5405
"000b-F14","3.-1.2.0","226-001-BARNES-F14",2,"PS",0,65,0,510.086,510.086,0,7.728575758,7.728575758,10.40427868,1,0,3,-1,0,0,1,0,0,0,3,10,5,2,0,0,1,0,1,0,5,7,10,3,7,0.114754098,1.75,0.215384615,61,0,61,0,61,0,0,61,1,0,0,0,0,0,0,3,0.029940073,0.011567797,0.876420927,0.027365223,0.090510821,0.082552898,0.011847427,0.01,0.01,0.011340922,0.064341707,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,72,0,553.845,510.086,43.759,7.586917808,6.251285714,7.728575758,2,0,0,0,1,1,0,0,3,10,5,2,0,1,6,7,10,3,7,0.114754098,0.875,0.202898551,67,0,67,0,67,0,6,61,0.910447761,0,0.089552239,0,0,6,0,3,4,258.3526324,249.4642174,515.4094065,4.999267606,14.14857341,6.5115
"000b-F14","3.-1.3.0","226-001-BARNES-F14",2,"PS",0,33,0,129.154,129.154,0,3.690114286,3.690114286,9.771509052,1,0,3,-1,0,0,1,0,0,0,4,5,1,3,1,0,1,0,2,2,9,8,2,1,1,0.307692308,1.6,0.516129032,26,0,26,0,26,0,0,26,1,0,0,0,0,0,0,0,0.094446237,0.043782447,0.916382632,0.23266342,0.090510821,0.082552898,0.011847427,0.01,0.024655882,0.027247848,0.122358119,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.01,105,0,682.999,639.24,43.759,6.324064815,6.251285714,6.329108911,3,0,0,0,2,1,0,0,4,15,6,5,1,2,15,15,12,4,8,0.172413793,1.153846154,0.3,93,0,93,0,93,0,6,87,0.935483871,0,0.064516129,0,0,6,0,3,4,171.4819104,163.4712059,429.9280166,5.294269504,18.02561068,0.831
