Interaction,hintCount,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,PrepCount,OptionalCount,InterfaceErrorCount,WrongSyntaxApp,PrightAppRatio,F1Score,BDActionCount,InDirectProofActionCount,UseWindowInfo,NonPSelements,AppCount,hintRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_hintCount,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_InterfaceErrorCount,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_BDActionCount,cumul_InDirectProofActionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
47,0,535.244,0.0,11.15091667,11.15091667,17.61348112,0,4,0,17,0,0.24,0.413793103,0,0,4,6,25,0.0,1,2,0,0,0,0.039311765,0.039311765,0.126644304,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.017321138,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.0,11.15091667,5.24969423,11.15091667,1,0,17,0.24,1.5,0.413793103,0,0,4,6,25,0.0,0.193548387,1,2,0,0,0,754.2226573,85.89333199,226.8775
12,0,0.0,56.759,4.729916667,5.730519118,17.61348112,2,0,0,4,0,0.0,0.323480324,0,0,0,6,2,0.0,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,56.759,9.866716667,4.729916667,11.15091667,1,2,21,0.222222222,0.857142857,0.352941176,0,0,4,12,27,0.0,0.307692308,1,2,5,0,0,325.6199227,44.42744607,81.495
6,0,0.0,6.695,1.115833333,5.730519118,17.49993428,0,0,0,1,0,0.166056337,0.323480324,0,0,0,5,0,0.0,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,63.454,9.071181818,3.525222222,11.15091667,1,2,22,0.222222222,0.545454545,0.315789474,0,0,4,17,27,0.0,0.386363636,1,2,10,0,0,1017.360329,45.74223636,124.365
87,0,635.59,0.0,7.141460674,7.141460674,15.1865151,0,10,26,23,0,0.151515152,0.285714286,0,0,0,0,66,0.0,2,0,0,0,0,0.055105144,0.073338722,0.189787315,0.011340922,0.311882337,0.011547283,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011522626,0.011340922,0.011522626,0.011522626,0.061177253,0,63.454,7.963148387,3.525222222,8.546233577,1,2,45,0.172043011,1.066666667,0.296296296,0,0,4,17,93,0.0,0.154545455,3,2,10,0,0,419.3237917,0.0,119.459
30,0,236.803,0.0,7.40009375,7.40009375,14.50507483,0,3,1,2,0,0.2,0.333333333,0,0,0,0,30,0.0,0,0,0,0,0,0.251642531,0.020446351,0.189787315,0.043154774,0.811713419,0.043744397,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,0,0.0,7.40009375,5.24969423,7.40009375,1,0,2,0.2,1.0,0.333333333,0,0,0,0,30,0.0,0.0,0,0,0,0,0,568.136864,55.10625694,152.054
13,0,0.0,107.147,8.242076923,5.730519118,14.47614168,0,0,0,5,0,0.0,0.323480324,0,0,0,6,2,0.0,0,0,6,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,107.147,7.643333333,8.242076923,7.40009375,2,0,7,0.1875,0.6,0.285714286,0,0,0,6,32,0.0,0.157894737,0,0,6,0,0,514.1781711,50.54714033,64.568
19,0,86.43,0.0,4.115714286,4.115714286,13.90662379,0,2,0,8,0,0.307692308,0.444444444,0,0,0,0,13,0.0,0,0,0,0,0,0.251642531,0.020446351,0.420810459,0.128746564,0.811713419,0.130237999,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,0,107.147,6.520909091,8.242076923,6.098735849,3,0,15,0.222222222,0.666666667,0.333333333,0,0,0,6,45,0.0,0.117647059,0,0,6,0,0,312.2420144,0.0,126.088
10,0,0.0,105.376,10.5376,5.730519118,13.90662379,0,0,0,1,0,0.166056337,0.323480324,0,0,0,9,0,0.0,0,0,9,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,105.376,10.5376,10.5376,6.100940583,1,0,1,0.160948709,0.0,0.268913966,0,0,0,9,0,0.0,1.0,0,0,9,0,0,877.4636507,48.64787226,148.718
10,0,0.0,25.25,2.525,5.730519118,13.88167173,0,0,0,1,0,0.166056337,0.323480324,0,0,0,9,0,0.0,0,0,9,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,130.626,6.5313,6.5313,6.100940583,2,0,2,0.160948709,0.0,0.268913966,0,0,0,18,0,0.0,1.0,0,0,18,0,0,453.1682347,60.599419,68.9985
32,0,166.742,0.0,4.904176471,4.904176471,13.52408389,0,5,0,6,0,0.25,0.4,0,0,0,0,28,0.0,0,0,0,0,0,0.359015927,0.068724812,0.873518523,0.315863074,0.930111632,0.215962272,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,0,130.626,5.506814815,6.5313,4.904176471,3,0,8,0.25,0.318181818,0.28,0,0,0,18,28,0.0,0.391304348,0,0,18,0,0,374.6966858,0.113744052,179.1665
32,0,268.998,0.0,7.911705882,7.911705882,13.52957168,0,3,0,9,2,0.24,0.387096774,0,0,0,0,25,0.0,0,0,0,0,0,0.359015927,0.131476407,0.954091892,0.380399397,0.930111632,0.215962272,0.318336633,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,0,0.0,7.911705882,5.24969423,7.911705882,1,0,9,0.24,1.0,0.387096774,0,0,0,0,25,0.0,0.0,0,0,0,0,0,260.6786393,60.61856213,99.6955
9,0,0.0,47.158,5.239777778,5.730519118,13.51150278,0,0,0,1,0,0.166056337,0.323480324,0,0,0,8,0,0.0,0,0,8,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,0,47.158,7.352465116,5.239777778,7.911705882,2,0,10,0.24,0.5,0.324324324,0,0,0,8,25,0.0,0.242424242,0,0,8,0,0,510.6006303,54.88639744,63.2005
