student,currProb,course,session,priorTutorAction,reward
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446
0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.514563107
0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0
0008-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0
0008-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0.0
0009-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0
0009-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0
0009-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0.0
0009-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-49.34210526
0009-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0
0009-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0
0009-F14,2.1.3.0,226-001-BARNES-F14,2,PS,117.0731977
0009-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0.0
0009-F14,3.1.2.0,226-001-BARNES-F14,2,WE,0.0
0009-F14,3.1.3.0,226-001-BARNES-F14,2,PS,-102.488374
0009-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0.0
0009-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0.0
0009-F14,4.1.3.0,226-001-BARNES-F14,3,PS,36.36442441
0009-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0.0
0009-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0.0
0009-F14,5.1.3.0,226-001-BARNES-F14,3,PS,16.86175666
0009-F14,6.1.1.0,226-001-BARNES-F14,3,WE,0.0
0009-F14,6.1.2.0,226-001-BARNES-F14,3,WE,0.0
0009-F14,6.1.3.0,226-001-BARNES-F14,3,PS,-51.36609578
000b-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0
000b-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0.0
000b-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0.0
000b-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-34.86842105
000b-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0.0
000b-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0.0
000b-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-9.165192393
000b-F14,3.-1.1.0,226-001-BARNES-F14,2,WE,0.0
