,student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
0,0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,47,0,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,3,3,4,3,0,1,1,0,0,0,17,6,4,4,0,4,0,3,31,0,31,0,31,4,6,25,8,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,3,3,4,3,0,0,17,6,4,4,0,4,0,3,31,0,31,0,31,4,6,25,8,0,1,1,2,0,0,0,3,6,5,7,9,9,4
1,0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,12,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,2,8,0,8,0,8,0,6,2,2,0,7,0,0,5,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,59,0,0,0,0,2,1,3,1,2,0,0,0,0,0,0,3,3,4,3,0,1,21,6,4,4,0,3,0,2,39,0,39,0,39,4,12,27,6,0,3,1,2,5,0,0,3,2,1,2,5,5,1
2,0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,6,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,2,5,0,5,0,5,0,5,0,0,0,9,0,0,5,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,65,0,0,0,0,2,0,3,1,2,0,0,0,0,0,0,3,3,4,3,0,2,22,6,4,4,0,3,0,2,44,0,44,0,44,4,17,27,6,0,3,1,2,10,0,0,4,8,7,9,4,5,2
3,0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,87,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,4,9,10,3,26,0,0,0,3,1,23,10,38,38,0,2,0,2,66,0,66,0,66,0,0,66,9,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,4,12,14,6,26,3,45,16,42,42,0,2,0,2,110,0,110,0,110,4,17,93,8,0,1,3,2,10,0,0,4,3,3,3,0,0,2
4,0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,30,0,0,0,0,1,1,3,1,0,2,1,1,0,0,0,0,0,3,5,3,0,1,1,1,0,0,0,2,6,3,3,0,3,0,2,30,0,30,0,30,0,0,30,9,0,0,0,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,3,5,3,0,1,0,2,6,3,3,0,3,0,2,30,0,30,0,30,0,0,30,9,0,0,0,0,0,0,0,4,4,4,5,6,6,2
5,0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,13,0,0,0,2,1,0,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,2,8,0,8,0,8,0,6,2,2,0,7,0,0,6,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,43,0,0,0,1,1,2,2,2,0,1,1,0,0,0,0,3,5,3,0,1,1,7,6,3,3,0,3,0,2,38,0,38,0,38,0,6,32,8,0,1,0,0,6,0,0,4,2,2,4,7,5,1
6,0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,19,0,0,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,2,1,8,4,0,0,0,5,0,3,13,0,13,0,13,0,0,13,9,0,0,0,0,0,0,0,2,0,4,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,1,1,2,2,3,0,2,1,0,0,0,0,3,7,5,0,1,2,15,10,3,3,0,3,0,2,51,0,51,0,51,0,6,45,8,0,1,0,0,6,0,0,4,2,2,2,0,0,2
7,0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,10,0,0,0,2,1,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,2,9,0,9,0,9,0,9,0,0,0,9,0,0,9,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,10,0,0,0,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,9,0,9,0,9,0,9,0,0,0,9,0,0,9,0,0,4,7,6,8,5,5,2
8,0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,10,0,0,0,0,0,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,9,0,9,0,9,0,9,0,0,0,9,0,0,9,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,20,0,0,0,1,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,18,0,18,0,18,0,18,0,0,0,9,0,0,18,0,0,6,2,2,4,8,7,1
9,0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,32,0,0,0,0,0,0,3,1,0,3,1,1,0,0,0,0,0,2,4,5,0,0,0,0,0,2,0,6,7,2,2,0,4,0,3,28,0,28,0,28,0,0,28,9,0,0,0,0,0,0,0,3,0,8,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,1,1,1,3,0,1,2,0,0,0,0,2,4,5,0,0,2,8,7,2,2,0,4,0,2,46,0,46,0,46,0,18,28,6,0,3,0,0,18,0,0,6,4,4,3,0,0,3
