TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,PrightAppRatio,RrightAppRatio,F1Score,AppRatio,hintRatio,BlankRatio,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
535.244,535.244,0,11.15091667,11.15091667,17.61348112,0.24,1.5,0.413793103,0.806451613,0,0.193548387,0.039311765,0.039311765,0.126644304,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.017321138,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,535.244,535.244,0,11.15091667,5.24969423,11.15091667,0.24,1.5,0.413793103,0.806451613,0,0.193548387,472.5291424,402.2476603,754.2226573,48.0436209,85.89333199,226.8775
56.759,0,56.759,4.729916667,5.730519118,17.61348112,0,0,0.323480324,0.25,0,0.75,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,592.003,535.244,56.759,9.866716667,4.729916667,11.15091667,0.222222222,0.857142857,0.352941176,0.692307692,0,0.307692308,167.9528131,136.6535636,325.6199227,25.72711272,44.42744607,81.495
6.695,0,6.695,1.115833333,5.730519118,17.49993428,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,598.698,535.244,63.454,9.071181818,3.525222222,11.15091667,0.222222222,0.545454545,0.315789474,0.613636364,0,0.386363636,572.535163,522.2272823,1017.360329,23.75181108,45.74223636,124.365
635.59,635.59,0,7.141460674,7.141460674,15.1865151,0.151515152,2.5,0.285714286,1,0,0,0.055105144,0.073338722,0.189787315,0.011340922,0.311882337,0.011547283,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011522626,0.011340922,0.011522626,0.011522626,0.061177253,1234.288,1170.834,63.454,7.963148387,3.525222222,8.546233577,0.172043011,1.066666667,0.296296296,0.845454545,0,0.154545455,252.0669214,252.0669214,419.3237917,0,0,119.459
236.803,236.803,0,7.40009375,7.40009375,14.50507483,0.2,1,0.333333333,1,0,0,0.251642531,0.020446351,0.189787315,0.043154774,0.811713419,0.043744397,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,236.803,236.803,0,7.40009375,5.24969423,7.40009375,0.2,1,0.333333333,1,0,0,366.135642,318.9324098,568.136864,32.95672242,55.10625694,152.054
107.147,0,107.147,8.242076923,5.730519118,14.47614168,0,0,0.323480324,0.25,0,0.75,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,343.95,236.803,107.147,7.643333333,8.242076923,7.40009375,0.1875,0.6,0.285714286,0.842105263,0,0.157894737,215.5316966,166.3043781,514.1781711,37.43865714,50.54714033,64.568
86.43,86.43,0,4.115714286,4.115714286,13.90662379,0.307692308,0.8,0.444444444,1,0,0,0.251642531,0.020446351,0.420810459,0.128746564,0.811713419,0.130237999,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,430.38,323.233,107.147,6.520909091,8.242076923,6.098735849,0.222222222,0.666666667,0.333333333,0.882352941,0,0.117647059,225.4508831,225.4508831,312.2420144,0,0,126.088
105.376,0,105.376,10.5376,5.730519118,13.90662379,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,105.376,0,105.376,10.5376,10.5376,6.100940583,0.160948709,0,0.268913966,0,0,1,506.9877537,465.9649527,877.4636507,26.39029352,48.64787226,148.718
25.25,0,25.25,2.525,5.730519118,13.88167173,0.166056337,0,0.323480324,0,0,1,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,130.626,0,130.626,6.5313,6.5313,6.100940583,0.160948709,0,0.268913966,0,0,1,224.5486218,171.9041423,453.1682347,40.45118699,60.599419,68.9985
166.742,166.742,0,4.904176471,4.904176471,13.52408389,0.25,1,0.4,1,0,0,0.359015927,0.068724812,0.873518523,0.315863074,0.930111632,0.215962272,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,297.368,166.742,130.626,5.506814815,6.5313,4.904176471,0.25,0.318181818,0.28,0.608695652,0,0.391304348,304.7160905,304.7082155,374.6966858,0.007081395,0.113744052,179.1665
