0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2,2,2,2,2,3,3,3,3,3,4,3,4,5,6,7,8,9,14,17,20,22,25,28,31,34,37,40,42,45,48,51,54
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,5,6,7,22,27,31,36,40,45,49,54,58,63,68,72,77,81,86
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,6,6,7,6,8,9,10,12,13,14,16,17,18,20,21,22,24,25
4,4,4,5,5,6,6,7,7,7,8,2,3,4,5,6,7,8,22,26,30,35,39,44,48,52,57,61,66,70,75,79,83
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,17,20,24,27,31,34,38,41,45,48,52,55,59,62,66
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,7,21,26,30,34,39,43,47,52,56,61,65,69,74,78,82
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,29,33,37,41,45,49,53,58,62,66,70,74,78
0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75
1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,7,8,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,6,6,7,19,23,26,30,34,38,42,46,49,53,57,61,65,69,72
5,6,6,7,7,8,9,9,10,10,11,3,4,5,6,8,9,10,12,14,17,19,22,24,27,29,32,34,37,39,42,44,47
1,1,1,1,2,2,2,2,2,2,3,2,3,4,5,6,7,8,26,32,37,42,48,53,58,64,69,74,80,85,90,96,101
1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,5,6,7,26,31,36,42,47,52,57,63,68,73,78,84,89,94,99
4,4,5,5,6,6,7,7,8,8,8,3,4,5,6,7,8,9,12,14,17,19,22,24,27,29,32,34,36,39,41,44,46
1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,6,7,8,26,31,37,42,47,53,58,63,69,74,79,84,90,95,100
0,0,1,1,1,1,1,1,1,1,1,2,3,4,5,5,6,7,24,29,33,38,43,48,53,58,62,67,72,77,82,87,91
5,5,6,6,7,7,8,8,9,9,10,3,4,5,6,7,8,10,17,21,24,28,31,35,38,42,45,49,52,56,59,63,66
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,12,14,16,19,21,24,26,29,31,33,36,38,41,43,46
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,23,28,33,37,42,47,51,56,61,66,70,75,80,84,89
0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,7,8,10,11,12,14,15,17,18,20,21,23,24,25,27
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,7,8,17,20,23,27,30,34,37,41,44,47,51,54,58,61,65
0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,22,26,30,35,39,44,48,53,57,61,66,70,75,79,84
0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,7,8,10,12,14,17,19,21,23,25,27,29,32,34,36,38,40
0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,7,20,24,29,33,37,41,45,49,53,58,62,66,70,74,78
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,19,23,27,31,35,39,42,46,50,54,58,62,66,70,74
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,24,29,34,39,44,48,53,58,63,68,73,78,83,88,93
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,19,23,27,30,34,38,42,46,50,54,58,61,65,69,73
1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,6,7,8,8,10,11,13,15,17,18,20,22,23,25,27,29,30,32
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,25,30,35,40,45,50,55,60,65,71,76,81,86,91,96
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,26,31,37,42,47,53,58,63,69,74,79,85,90,95,101
1,1,2,2,2,2,2,2,3,3,3,2,3,4,5,6,7,8,10,12,14,17,19,21,23,25,27,29,32,34,36,38,40
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,25,31,36,41,46,51,56,62,67,72,77,82,87,93,98
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,24,29,34,39,43,48,53,58,63,68,73,78,82,87,92
1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,13,16,19,22,24,27,30,33,36,38,41,44,47,49,52
3,3,3,3,4,4,4,5,5,5,6,3,4,5,6,7,8,9,15,18,21,24,27,30,33,36,39,43,46,49,52,55,58
2,2,3,3,3,3,4,4,4,4,5,2,3,4,4,5,6,7,22,26,31,35,40,44,49,53,58,62,67,71,76,80,85
6,7,8,9,9,10,11,11,12,13,13,3,4,5,6,7,8,9,11,13,15,17,20,22,24,26,29,31,33,35,37,40,42
6,7,7,8,9,9,10,11,11,12,13,2,3,3,4,5,6,6,18,22,25,29,33,36,40,44,48,51,55,59,62,66,70
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,16,19,23,26,29,32,36,39,42,46,49,52,56,59,62
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,8,22,26,31,35,40,44,49,53,57,62,66,71,75,80,84
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,7,7,20,24,29,33,37,41,45,49,54,58,62,66,70,74,79
0,0,0,0,0,1,1,1,1,1,1,2,3,4,5,6,7,8,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76
0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0,0,0,1,1,1,1,1,1,1,2,3,4,5,6,6,7,19,23,26,30,34,38,42,46,49,53,57,61,65,69,72
2,3,3,3,3,4,4,4,5,5,5,3,4,5,6,7,8,9,9,11,13,15,17,19,21,22,24,26,28,30,32,34,36
0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,6,7,8,25,30,35,41,46,51,56,61,66,71,77,82,87,92,97
0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,6,6,7,26,31,37,42,47,53,58,63,68,74,79,84,90,95,100
