student,currProb,course,session,priorTutorAction,reward,Level,probDiff
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,0
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,0
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,1,0
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,2,1
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,2,1
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,2,1
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,3,1
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,3,1
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,3,1
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,4,1
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,4,1
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,4,1
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,5,1
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,5,1
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,5,1
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,6,1
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,6,1
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,6,1
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,1,0
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,1,0
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,1,0
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,1,0
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,2,1
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,2,1
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,2,1
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,3,1
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,3,1
0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,3,1
0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,4,1
0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,4,1
0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.514563107,4,1
0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,5,1
0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,5,1
0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0,5,1
0008-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,6,1
0008-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,6,1
0008-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0,6,1
0009-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,1,0
0009-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,1,0
0009-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,1,0
0009-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-49.34210526,1,0
0009-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,2,1
0009-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,2,1
