student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,47,1,0,0,0,0,0,0
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,59,1,0,0,0,0,0,0
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,65,1,0,0,0,0,0,0
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,152,1,0,0,0,0,0,0
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,30,2,0,0,0,0,0,0
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,43,2,0,0,0,0,0,0
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,62,2,0,0,0,0,0,0
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,10,3,0,0,0,0,0,0
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,20,3,0,0,0,0,0,0
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,52,3,0,0,0,0,0,0
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,32,4,0,0,0,0,0,0
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,41,4,0,0,0,0,0,0
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,163,4,0,0,0,0,0,0
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,53,5,0,0,0,0,0,0
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,64,5,0,0,0,0,0,0
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,126,5,0,0,0,0,0,0
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,23,6,0,0,0,0,0,0
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,26,6,0,0,0,0,0,0
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,146,6,0,0,0,0,0,0
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,6,1,0,0,0,0,0,0
0008-F14,1.0.2.0,226-001-BARNES-F14,1,PS,0,20,1,0,0,0,0,0,0
0008-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,27,1,0,0,0,0,0,0
0008-F14,1.0.4.0,226-001-BARNES-F14,1,PS,40.78947368,41,1,0,0,0,0,0,0
0008-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0,29,2,0,0,0,0,0,0
0008-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,36,2,0,0,0,0,0,0
0008-F14,2.1.3.0,226-001-BARNES-F14,1,PS,26.94161875,56,2,0,0,0,0,0,0
0008-F14,3.1.1.0,226-001-BARNES-F14,1,PS,0,26,3,0,0,0,0,0,0
0008-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0,37,3,0,0,0,0,0,0
0008-F14,3.1.3.0,226-001-BARNES-F14,1,PS,22.75434446,64,3,0,0,0,0,0,0
0008-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,21,4,0,0,0,0,0,0
0008-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,30,4,0,0,0,0,0,0
0008-F14,4.1.3.0,226-001-BARNES-F14,1,PS,9.514563107,62,4,0,0,0,0,0,0
0008-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,15,5,0,0,0,0,0,0
0008-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,26,5,0,0,0,0,0,0
0008-F14,5.1.3.0,226-001-BARNES-F14,1,PS,0,61,5,0,0,0,0,0,0
0008-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,24,6,0,0,0,0,0,0
0008-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,27,6,0,0,0,0,0,0
0008-F14,6.1.3.0,226-001-BARNES-F14,1,PS,0,62,6,0,0,0,0,0,0
0009-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,87,1,0,0,0,0,0,0
0009-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,137,1,0,0,0,0,0,0
0009-F14,1.0.3.0,226-001-BARNES-F14,1,PS,0,269,1,0,0,0,0,0,0
0009-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-49.34210526,311,1,0,0,0,0,0,0
0009-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,11,2,0,0,0,0,0,0
0009-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,17,2,0,0,0,0,0,0
0009-F14,2.1.3.0,226-001-BARNES-F14,2,PS,117.0731977,55,2,0,0,0,0,0,0
0009-F14,3.1.1.0,226-001-BARNES-F14,2,WE,0,10,3,0,0,0,0,0,0
0009-F14,3.1.2.0,226-001-BARNES-F14,2,WE,0,20,3,0,0,0,0,0,0
0009-F14,3.1.3.0,226-001-BARNES-F14,2,PS,-102.488374,70,3,0,0,0,0,0,0
0009-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0,92,4,0,0,0,0,0,0
0009-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,103,4,0,0,0,0,0,0
0009-F14,4.1.3.0,226-001-BARNES-F14,3,PS,36.36442441,275,4,0,0,0,0,0,0
0009-F14,5.1.1.0,226-001-BARNES-F14,3,PS,0,33,5,0,0,0,0,0,0
0009-F14,5.1.2.0,226-001-BARNES-F14,3,WE,0,44,5,0,0,0,0,0,0
0009-F14,5.1.3.0,226-001-BARNES-F14,3,PS,16.86175666,111,5,0,0,0,0,0,0
0009-F14,6.1.1.0,226-001-BARNES-F14,3,WE,0,10,6,0,0,0,0,0,0
0009-F14,6.1.2.0,226-001-BARNES-F14,3,WE,0,12,6,0,0,0,0,0,0
0009-F14,6.1.3.0,226-001-BARNES-F14,3,PS,-51.36609578,140,6,0,0,0,0,0,0
000b-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,66,1,0,0,0,0,0,0
000b-F14,1.0.2.0,226-001-BARNES-F14,2,WE,0,75,1,0,0,0,0,0,0
000b-F14,1.0.3.0,226-001-BARNES-F14,2,PS,0,81,1,0,0,0,0,0,0
000b-F14,1.0.4.0,226-001-BARNES-F14,2,PS,-34.86842105,101,1,0,0,0,0,0,0
000b-F14,2.1.1.0,226-001-BARNES-F14,2,WE,0,9,2,0,0,0,0,0,0
000b-F14,2.1.2.0,226-001-BARNES-F14,2,WE,0,15,2,0,0,0,0,0,0
000b-F14,2.1.3.0,226-001-BARNES-F14,2,PS,-9.165192393,62,2,0,0,0,0,0,0
000b-F14,3.-1.1.0,226-001-BARNES-F14,2,WE,0,7,3,0,0,0,0,0,0
000b-F14,3.-1.2.0,226-001-BARNES-F14,2,PS,0,72,3,0,0,0,0,0,0
000b-F14,3.-1.3.0,226-001-BARNES-F14,2,PS,0,105,3,0,0,0,0,0,0
000b-F14,3.-1.4.0,226-001-BARNES-F14,2,PS,2.714932127,127,3,0,0,0,0,0,0
000b-F14,4.1.1.0,226-001-BARNES-F14,2,PS,0,22,4,0,0,0,0,0,0
000b-F14,4.1.2.0,226-001-BARNES-F14,2,WE,0,32,4,0,0,0,0,0,0
000b-F14,4.1.3.0,226-001-BARNES-F14,2,PS,62.56868132,127,4,0,0,0,0,0,0
000b-F14,5.1.1.0,226-001-BARNES-F14,2,PS,0,156,5,0,0,0,0,0,0
