,student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
0,0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,1,1,4,4,0,0,4,0,0,0,0,0,0,7,0,0,0,0,9,9,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,2,0,0,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,8,0,1,0,1,0,0,0,1,6,5,7,9,9,4
1,0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,6,0,3,0,1,1,0,0,1,2,1,2,5,5,1
2,0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,6,0,3,0,1,3,0,0,3,8,7,9,4,5,2
3,0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.0789473684,0,0,0,0,0,1,1,3,4,0,0,4,0,0,0,0,0,0,9,0,0,0,2,0,0,0,7,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,1,7,1,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,8,0,1,0,1,3,0,0,3,3,3,3,0,0,2
4,0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,0,0,0,0,0,1,1,3,4,0,1,9,9,0,0,0,0,0,7,0,0,0,0,9,9,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,4,4,5,6,6,2
5,0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,2,1,0,3,4,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,7,0,0,2,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,3,2,2,4,7,5,1
6,0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.810039805,0,0,0,0,0,0,0,3,4,0,1,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,4,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,6,3,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,3,2,2,2,0,0,2
7,0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,2,1,0,3,4,0,3,9,0,9,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,3,7,6,8,5,5,2
8,0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,0,0,0,0,0,0,0,3,4,0,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,4,2,7,2,3,2,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,6,2,2,4,8,7,1
9,0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.2650730195,0,0,0,0,0,0,0,3,4,0,3,9,9,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,8,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,6,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6,0,3,0,0,5,0,0,6,4,4,3,0,0,3
